Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| January 24, 2019 | 61576, 61577, 61578, 61579, 61580, 61581, 61582, 61657, 61658, 61659, 61660, 61661, 61662, 61663 | Highland Al Hujaz Co., Ltd. | Kinner |
| January 24, 2019 | 61670 | Delta Industries, Inc. | D'Alessandris |
| January 24, 2019 | 61013 | Straub Driver, a Joint Venture | McNulty |
| January 24, 2019 | 59138, 59586, 59643, 60284 | ECC International Constructors, LLC | McIlmail |
| January 23, 2019 | 58634 | Parsons Evergreene, LLC | Clarke |
| January 22, 2019 | 60331 | LKJ Crabbe Inc. | Woodrow |
| January 22, 2019 | 61299, 61300 | Pacific Maritime Industries Corp. | Page |
| January 22, 2019 | 61903 | Franzosini SUD S.R.I. | Thrasher |
| January 18, 2019 | 61688, 61689 | Stobil Enterprise | Shackleford |
| January 18, 2019 | 61512 | Andrews Contracting Services, LLC | Shackleford |
| January 17, 2019 | 61121 | Missouri Department of Social Services | McIlmail |
| January 16, 2019 | 61802 | Maruf Sharif Construction Company | Thrasher |
| January 16, 2019 | 61574 | TranLogistics LLC | Kinner |
| January 15, 2019 | 61851 | JE Dunn Construction Company | Thrasher |
| January 15, 2019 | 61513 | Forrester Construction Company | Thrasher |
| January 10, 2019 | 60810, 60835, 60836, 60837, 60869, 60911, 61466, 61467 | Environmental Chemical Corporation | Cates-Harman |
| January 10, 2019 | 61563 | Laughlin, Marinaccio & Owens, Inc. | Thrasher |
| January 10, 2019 | 61773, 61774 | Sand Point Services, LLC | Thrasher |
| January 10, 2019 | 61353 | Fluor Federal Solutions, LLC | Clarke |
| January 8, 2019 | 61791 | Reagent World, Inc. | Thrasher |
| January 8, 2019 | 60412 | Science and Management Resources, Inc. | D'Alessandris |
| January 7, 2019 | 61557, 61598 | Starwalker PR, LLC | McIlmail |
| January 7, 2019 | 61730 | Powell Industries, Inc. | Thrasher |
| January 7, 2019 | 61782 | M.J. Hughes Construction, Inc. | Clarke |
| January 7, 2019 | 60022, 60023, 61042, 61043, 61044, 61045, 61046, 61164 | ABS Development Corporation | McIlmail |
| January 3, 2019 | 61526, 61527, 61528, 61529, 61530, 61531, 61532, 61533, 61534 | Eur-Pac Corporation | Thrasher |
| January 2, 2019 | 58791, 59717 | John C. Grimberg Co., Inc. | Peacock |
| January 2, 2019 | 61017, 61544 | Air Center Helicopters, I nc. | Hartman |
| January 2, 2019 | 61738 | Engineering & Environment, Inc. | Hartman |

| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| December |  |  |  |
| December 21, 2018 | 61590 | Gilbane Federal Joint Venture | Osterhout |
| December 21, 2018 | 61868 | AT&T Corp. | Prouty |
| December 19, 2018 | 60737 | J.F. Brennan Co., Inc. | D'Alessandris |
| December 19, 2018 | 61209, 61210, 61211, 61212 61213, 61214 | Tetra Tech Tesoro, Inc. | Shackleford |
| December 19, 2018 | 61609 | Avis Industries, Inc. | Shackleford |
| December 19, 2018 | 61547 | WIT Associates, Inc. | McIlmail |
| December 18, 2018 | 61583 | Energy Matter Conversion Corporation | Sweet |
| December 17, 2018 | 61670 | Delta Industries, Inc. | D'Alessandris |
| December 13, 2018 | 58899, 58900 | Custom Manufacturing & Engineering, Inc. | Wilson |
| December 13, 2018 | 61333 | Ballistic Recovery Systems, Inc. | Paul |
| December 13, 2018 | 61488 | Metis Solutions, LLC | Hartman |
| December 10, 2018 | 58672 | Electric Boat Corporation | D'Alessandris |
| December 7, 2018 | 61720 | Louisiana Workforce Commission | Thrasher |
| December 7, 2018 | 61876 | ANHAM FZCO, LLC | Thrasher |
| December 7, 2018 | 61464 | Expresser Transport Corporation | Melnick |
| December 4, 2018 | 60731, 61394 | Niking Corporation | O'Sullivan |
| December 4, 2018 | 60948, 61166 | American International Contractors, Inc. | O'Connell |
| November |  |  |  |
| November 29, 2018 | 61379, 61585 | John Shaw LLC d/b/a Shaw Building Maintenance | Osterhout |
| November 29, 2018 | 61865 | Knowlogy Corporation | Thrasher |
| November 29, 2018 | 60211, 60212, 60213 | Charles F. Day & Associates LLC | Prouty |
| November 28, 2018 | 61387, 61388 | The Boeing Company | O'Connell |
| November 27, 2018 | 61788, 61789 | The Boeing Company | Thrasher |
| November 26, 2018 | 61610 | Courtney Ake | McIlmail |
| November 20, 2018 | 60411 | The Boeing Company | Melnick |
| November 20, 2018 | 61007, 61008, 61009, 61010, 61011, 61012 | Sumo-Nan JV II, LLC | Thrasher |
| November 20, 2018 | 61397 | L&M Technologies, Inc. | Clarke |
| November 20, 2018 | 61719 | Panjshir Star Construction Company | Thrasher |
| November 19, 2018 | 57530, 58161 | Kellogg Brown & Root Services, Inc. | Melnick |
| November 16, 2018 | 59738, 59909 | Lebolo-Watts Constructors 01 JV LLC | Page |
| November 16, 2018 | 60484 | ECC International, LLC | Woodrow |
| November 16, 2018 | 61815 | Comp Environmental, Inc. | Thrasher |
| November 16, 2018 | 61267 | Centerra Group, LLC f/k/a The Wackenhut Services, Inc. | Woodrow |
| November 15, 2018 | 60421 | FlightSafety International Inc. | D'Alessandris |
| November 15, 2018 | 61022 | Leonie Industries, LLC | Thrasher |
| November 15, 2018 | 61465 | Rotair Industries | D'Alessandris |
| November 15, 2018 | 61572 | Stonewin Capital, LP | Thrasher |
| November 15, 2018 | 61692 | FN America, LLC | Thrasher |
| November 14, 2018 | 60621, 60623 | GCC McCarthy Joint Venture IV | McNulty |
| November 13, 2018 | 58999 | ANHAM FZCO, LLC | Woodrow |
| November 13, 2018 | 61647, 61648 | Eur-Pac Corporation | Wilson |
| November 13, 2018 | 60049 | First Division Design, LLC | Kinner |
| November 9, 2018 | 61454 | Northrop Grumman Corporation | Thrasher |
| November 9, 2018 | 61835, 61836 | Saban Aerospace, Inc. | Clarke |
| November 8, 2018 | 61729 | United Launch Services, LLC | Woodrow |
| November 6, 2018 | 61548, 61573, 61626 | J&J Maintenance, Inc. | Thrasher |
| November 6, 2018 | 61232, 61538 | Colonna's Shipyard, Inc. | Thrasher |
| November 6, 2018 | 61096 | Ruby Emerald Construction Company | Woodrow |
| November 5, 2018 | 61505 | Interaction Research Institute, Inc. | Woodrow |
| November 5, 2018 | 61329, 61750 | The Cadata Corporation, Inc. | Sweet |
| November 2, 2018 | 61076 | Tidewater, Inc. | Younger |
| October |  |  |  |
| October 30, 2018 | 60582, 60583, 60584, 60585, 60586, 60587, 60588, 60589, 60599 | Omran Holding Group | Melnick |
| October 29, 2018 | 60948, 61166 | American International Contractors, Inc. | O'Connell |
| October 29, 2018 | 60331 | LKJ Crabbe Inc. | Woodrow |
| October 26, 2018 | 60649 | Areyana Group of Construction Company | Paul |
| October 25, 2018 | 61671 | Sea Cycle Construction Company | Prouty |
| October 25, 2018 | 58791, 59167, 59168, 59169, 59170, 59171, 59717 | John C. Grimberg Co., Inc. | Peacock |
| October 24, 2018 | 60454, 60455, 60669 | CDM Constructors, Inc. | Sweet |
| October 18, 2018 | 60991, 61386 | Grahams Construction, Inc. | Younger |
| October 16, 2018 | 60882, 60883 | Eastern Construction & Electric, Inc. | D'Alessandris |
| October 16, 2018 | 60415 | FlightSafety International Inc. | D'Alessandris |
| October 16, 2018 | 61430 | Carothers Construction, Inc. | Younger |
| October 15, 2018 | 61516 | Fr. Kieran Mandato | Thrasher |
| October 15, 2018 | 61671 | Sea Cycle Construction Company | Prouty |
| October 11, 2018 | 61262 | GSA Proposal Maven, LLC | Osterhout |
| October 9, 2018 | 61142 | Skanska USA Civil Southeast, Inc. | Thrasher |
| October 9, 2018 | 61331, 61332, 61501 | Northrop Grumman Corporation | Thrasher |
| October 9, 2018 | 61599 | Ariae Koh General Maintenance & Construction Co. | Thrasher |
| October 9, 2018 | 61735 | DynCorp International LLC | Thrasher |
| October 4, 2018 | 60101 | SKE Base Services GmbH | McIlmail |
| October 4, 2018 | 60581 | UNIT Company | Shackleford |
| October 4, 2018 | 61391 | Marco Vantage Levant (MVL) | Thrasher |
| October 4, 2018 | 61481 | Hanover Insurance Company | Thrasher |
| October 3, 2018 | 59919, 60358 | Tkacz Engineering LLC | Shackleford |
| October 3, 2018 | 61358, 61407, 61442 | Avant Assessment, LLC | McIlmail |
| October 2, 2018 | 60207 | Phoenix Data Solutions LLC f/k/a Aetna Government Health Plans | D'Alessandris |
| October 2, 2018 | 60207 | Phoenix Data Solutions LLC f/k/a Aetna Government Health Plans | D'Alessandris |
| October 1, 2018 | 61740 | ManTech Advanced Systems International, Inc. | Thrasher |
| October 1, 2018 | 61620 | Global Hub Logistics | Thrasher |
| September |  |  |  |
| September 26, 2018 | 58519 | Cubic Defense Applications, Inc. | Hartman |
| September 26, 2018 | 61051 | Lifecycle Construction Services, LLC | Page |
| September 26, 2018 | 61552 | G-W Management Services, LLC | Thrasher |
| September 24, 2018 | 60357 | Sygnetics, Inc. | Thrasher |
| September 24, 2018 | 61449 | CACI NSS, Inc. | Thrasher |
| September 24, 2018 | 61483 | Long Wave, Inc. | O'Connell |
| September 24, 2018 | 61676 | Green Life Environmental, LLC | Thrasher |
| September 21, 2018 | 60712 | LGS Innovations LLC | Shackleford |
| September 20, 2018 | 60115, 60537 | Wu & Associates, Inc. | O'Connell |
| September 20, 2018 | 59809 | Relyant, LLC | Prouty |
| September 20, 2018 | 61389, 61487 | KOO Construction, Inc. | McNulty |
| September 19, 2018 | 60299 | Wu & Associates, Inc. | O'Connell |
| September 19, 2018 | 60107, 60536 | Wu & Associates, Inc. | O'Connell |
| September 17, 2018 | 59427, 59428 | Berger/Cummins JV | Melnick |
| September 17, 2018 | 61748 | Pioneer Aerospace Corporation | Thrasher |
| September 17, 2018 | 61725-987 | AWA Wilson JV | Thrasher |
| September 11, 2018 | 60786, 60787 | John C. Grimberg Co., Inc. | Paul |
| September 11, 2018 | 60618 | BCI Construction USA, Inc. | O'Sullivan |
| September 11, 2018 | 59660, 60051 | ACE Expert Tailors | Paul |
| September 7, 2018 | 61747-988 | Fluor Federal Solutions, LLC | Thrasher |
| September 6, 2018 | 57784, 57987 | CANVS Corporation | Peacock |
| September 6, 2018 | 61412 | CDM/CAPE, JV | Thrasher |
| September 5, 2018 | 58634 | Parsons Evergreene, LLC | Clarke |
| September 5, 2018 | 58634 | Parsons Evergreene, LLC | Clarke |
| September 5, 2018 | 59213, 59532 | Kings Bay Support Services | Kinner |
| September 5, 2018 | 60406 | CERETECHS, Ltd. | D'Alessandris |
| September 5, 2018 | 61189 | K&K Industries, Inc. | Peacock |
| September 5, 2018 | 61784 | Parsons Evergreene, LLC | Prouty |
| September 4, 2018 | 60647 | ECC CENTCOM Constructors, LLC | O'Connell |
| August |  |  |  |
| August 30, 2018 | 61368 | DRS Global Enterprise Solutions, Inc. | O'Connell |
| August 30, 2018 | 59089 | Bulova Technologies Ordnance Systems LLC | Scott |
| August 29, 2018 | 61277, 61515 | Faith Enterprises, Inc. | Sweet |
| August 29, 2018 | 61574 | TranLogistics LLC | Kinner |
| August 28, 2018 | 57743 | Raytheon Company | Scott |
| August 28, 2018 | 58175 | Kellogg Brown & Root Services, Inc. | Scott |
| August 27, 2018 | 61739 | Rizzani de Eccher (USA), Inc. | Young |
| August 20, 2018 | 61048 | Iris Kim, Inc. | Thrasher |
| August 20, 2018 | 61074 | CDM Constructors, Inc. | O'Sullivan |
| August 20, 2018 | 58030, 58593, 58594, 58660, 59212, 59220, 59813, 60376, 60403, 60411, 60522, 60736 | The Boeing Company | Newsom |
| August 17, 2018 | 61539 | Trout Green Technologies, Inc. | Shackleford |
| August 17, 2018 | 61644 | Kabul River Construction & Logistics Co. | Shackleford |
| August 15, 2018 | 57168 | Kelly-Ryan, Inc. | McNulty |
| August 15, 2018 | 59861, 60090, 60091, 60092, 60093, 60094, 60095, 60096, 60097, 60098, 60296, 60395, 60396 | Innovation Associates, Inc. | Osterhout |
| August 14, 2018 | 58628 | Hanley Industries, Inc. | Hartman |
| August 14, 2018 | 60600 | Amatea/Grimberg, J.V. | Hartman |
| August 13, 2018 | 60634, 60635, 61098 | Volmar Construction, Inc. | Shackleford |
| August 9, 2018 | 60235, 60236, 60237, 60238 | North American Landscaping, Construction and Dredge, Co., Inc. | Clarke |
| August 8, 2018 | 60828, 60863 | Alderman Building Co., Inc. | Melnick |
| August 8, 2018 | 61567 | S.C.A.-Shipping Consultants Associated Ltd. | Shackleford |
| August 8, 2018 | 61684-986 | Maruf Sharif Construction Company | Shackleford |
| August 1, 2018 | 61614, 61615 | PRN Associates, Inc. | Thrasher |
| August 1, 2018 | 61520 | Starwalker PR LLC | McIlmail |
| July |  |  |  |
| July 26, 2018 | 61304, 61310 | Al Raha Group for Technical Services | Thrasher |
| July 26, 2018 | 61389, 61487 | KOO Construction, Inc. | McNulty |
| July 26, 2018 | 59726 | Hartchrom, Inc. | Osterhout |
| July 26, 2018 | 59233 | 2Connect W.L.L. | Wilson |
| July 25, 2018 | 60371, 60372, 60544, 60545 | John C. Grimberg Company, Inc. | Woodrow |
| July 24, 2018 | 61263, 61264 | VetBiz Corp., LLC | Woodrow |
| July 24, 2018 | 61152 | Great Lakes Dredge & Dock Company LLC | Melnick |
| July 23, 2018 | 61054 | Cooper Materials Handling, Inc. | Melnick |
| July 23, 2018 | 61134 | Shiloh Services, Inc. | Young |
| July 23, 2018 | 61622 | Sierra Nevada Corporation | Thrasher |
| July 20, 2018 | 61318 | JBlanco Enterprises, Inc. | O'Connell |
| July 19, 2018 | 61276 | Coastal Environmental Group, Inc. | McIlmail |
| July 19, 2018 | 61026 | Aerospace Facilities Group, Inc. | Shackleford |
| July 17, 2018 | 60410 | Coastal Environmental Group, Inc. | McIlmail |
| July 17, 2018 | 60373 | The Boeing Company | D'Alessandris |
| July 17, 2018 | 61517 | Hensel Phelps Construction Co. | McIlmail |
| July 16, 2018 | 61320 | Chugach Federal Solutions, Inc. | D'Alessandris |
| July 16, 2018 | 61593 | Clark/Kiewit a Joint Venture | Thrasher |
| July 13, 2018 | 60596 | Kirlin Builders, LLC | McNulty |
| July 12, 2018 | 61623 | Evolved Machines | Thrasher |
| July 11, 2018 | 61508 | B&D Consulting, Inc. | Thrasher |
| July 11, 2018 | 60040, 60876 | Telford Aviation, Inc. | Newsom |
| July 10, 2018 | 61233 | Physical Optics Corporation | Thrasher |
| July 11, 2018 | 60314 | ABB Enterprise Software, Inc., f/k/a Ventyx | Kinner |
| July 10, 2018 | 60823 | Team Hall Venture, LLC, dba Limeberry Frozen Yogurt | McIlmail |
| July 9, 2018 | 61627 | Morrish Wallace Construction, Inc. d/b/a Ryba Marine Construction Co. | Thrasher |
| July 9, 2018 | 61423 | Walsh Construction Company II, LLC | Thrasher |
| July 6, 2018 | 61584-984 | Rizzani de Eccher (USA), Inc. | Thrasher |
| July 3, 2018 | 61491 | Charles & Company, Inc. | Osterhout |
| July 2, 2018 | 61470 | David Boland, Inc. | Sweet |
| July 2, 2018 | 61546 | Hydra Engineering & Construction, LLC | Thrasher |
| June |  |  |  |
| June 28, 2018 | 60159 | Pratt & Whitney | O'Sullivan |
| June 28, 2018 | 61504 | Bonkers Girls Company | Thrasher |
| June 27, 2018 | 60028 | Total Environmental Concepts, Inc. | Clarke |
| June 27, 2018 | 60774, 60826, 61254 | Balfour Beatty Construction, LLC | Wilson |
| June 27, 2018 | 59809 | Relyant, LLC | Prouty |
| June 27, 2018 | 59519, 59913 | CiyaSoft Corporation | McNulty |
| June 26, 2018 | 60121 | R.L. Persons Construction, Inc. | Sweet |
| June 26, 2018 | 60625 | General Dynamics Information Technology | D'Alessandris |
| June 26, 2018 | 60735 | Northrop Grumman Corporation | Thrasher |
| June 26, 2018 | 60870, 60898 | Mirador Enterprises, Inc. | Woodrow |
| June 26, 2018 | 60900, 60901 | Northstar Contracting, Inc. | D'Alessandris |
| June 26, 2018 | 57491, 57492, 57493 | International Oil Trading Company | Melnick |
| June 25, 2018 | 60323 | Melwood Horticultural Training Center, Inc. | Woodrow |
| June 25, 2018 | 60445 | ProLogic Inc. | Prouty |
| June 25, 2018 | 60657 | Parwan Group Company | D'Alessandris |
| June 25, 2018 | 61336, 61564 | Contract Decor, Inc. | Woodrow |
| June 25, 2018 | 61480 | Lockheed Martin Aeronautics Company | Thrasher |
| June 22, 2018 | 60873, 61338, 61521 | Chris and Kelli Cox | Prouty |
| June 22, 2018 | 56470, 56471, 56472, 56473, 56591 | AEY, Inc. | O'Sullivan |
| June 20, 2018 | 61230 | DZSP 21 LLC | Thrasher |
| June 20, 2018 | 61624 | Network Documentation & Implementation, Inc. | Thrasher |
| June 18, 2018 | 61047 | Assessment and Training Solutions Consulting Corporation | Clarke |
| June 15, 2018 | 60577 | Environmental Chemical Corporation | Newsom |
| June 14, 2018 | 60639, 60640 | BAE Systems Land & Armaments L.P. | Thrasher |
| June 14, 2018 | 61404 | H2L1-CSC, JV | Paul |
| June 13, 2018 | 60936, 60937, 60938 | I.E.-Pacific, Inc. | McNulty |
| June 13, 2018 | 61383, 61384, 61385 | Meltech, Inc. | Shackleford |
| June 12, 2018 | 61033 | John C. Grimberg Company, Inc. | Clarke |
| June 12, 2018 | 61410 | Godwin Corporation | Melnick |
| June 11, 2018 | 60934 | Infinite Services & Solutions, Inc. | Shackleford |
| June 7, 2018 | 61175 | Better Direct, LLC | Shackleford |
| June 7, 2018 | 61280 | Bethel Services, Inc. | McIlmail |
| June 7, 2018 | 61550 | Beechcraft Defense Company, LLC | Shackleford |
| June 7, 2018 | 61551 | Beechcraft Defense Company, LLC | Shackleford |
| June 6, 2018 | 60725, 60877, 60878, 60895, 60945, 60946, 60947, 61165, 61330 | Kiewit Building Group Inc. | McNulty |
| June 6, 2018 | 61183, 61235, 61288, 61352, 61367, 61424, 61456 | PCCP Constructors, a Joint Venture | McNulty |
| June 6, 2018 | 61413 | Sikorsky Aircraft Corporation | Shackleford |
| June 5, 2018 | 59915 | Exelis Inc. | Sweet |
| June 4, 2018 | 58951 | Atlas Sahil Construction Company | Younger |
| June 4, 2018 | 61124, 61125, 61126, 61127, 61128, 61129, 61130, 61131, 61132 | K&N Electric Motors, Inc. | D'Alessandris |
| June 1, 2018 | 59667 | ECCI-C METAG, JV | Newsom |
| June 1, 2018 | 61438 | Scitor Corporation | Shackleford |
| May |  |  |  |
| May 30, 2018 | 61354, 61355 | First Division Design, LLC | Clarke |
| May 30, 2018 | 61353 | Fluor Federal Solutions, LLC | Clarke |
| May 30, 2018 | 61161, 61162, 61185¹ | PROTEC GmbH | Sweet |
| May 29, 2018 | 61393 | Harmonia Holdings Group, LLC | Thrasher |
| May 29, 2018 | 61279 | OCCI, Inc. | Shackleford |
| May 29, 2018 | 61107 | Anis Avasta Construction Company | Sweet |
| May 29, 2018 | 60948, 61166 | American International Contractors, Inc. | O'Connell |
| May 23, 2018 | 58030, 58593, 58594, 58660, 59212, 59220, 59813, 60376, 60403, 60411, 60522, 60736 | The Boeing Company | Newsom |
| May 23, 2018 | 61559 | Acsential Technologies, Inc. | Shackleford |
| May 23, 2018 | 61314 | New South Construction Company, Inc. | Newsom |
| May 23, 2018 | 60850 | KiewitPhelps | Newsom |
| May 18, 2018 | 59144, 59145, 59146, 59147, 59148, 59158, 59159, 59182, 59183, 59229, 59274, 59275, 59276, 59277, 59290 | Douglas P. Fleming, LLC | Prouty |
| May 16, 2018 | 61596-985 | Nan Inc. | Thrasher |
| May 16, 2018 | 61215 | Nimrah Construction Company | Shackleford |
| May 16, 2018 | 61283 | Desert Fox Construction Company | Thrasher |
| May 15, 2018 | 61291 | ACE Maintenance & Services, Inc. | Thrasher |
| May 14, 2018 | 60871 | Kings Bay Support Services | D'Alessandris |
