Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| September 18, 2024 | 63803 | WINN Solutions LLC | Wilson |
| September 18, 2024 | 63783, 63784, 63789, 63788 | Red Bobtail Transportation | Melnick |
| September 17, 2024 | 63114, 63662 | Shimmick Construction Company, Inc. | Sweet |
| September 17, 2024 | 63036 | DRS Laurel Technologies | Melnick |
| September 16, 2024 | 62876, 63616 | Shoreline Foundation, Inc. | O'Connell |
| September 14, 2024 | 63415 | G2 Global Solutions, LLC | Thrasher |
| September 13, 2024 | 63781, 63782 | EAN Holdings, LLC | Wilson |
| September 12, 2024 | 63630 | Colony Construction | Smith |
| September 11, 2024 | 63703 | HSU Development, Inc. | Wilson |
| September 11, 2024 | 62845-ADR, 63009-ADR, 63206-ADR, 63207-ADR, 63208-ADR | Edifice-Schlosser Joint Venture, LLC | Cates-Harman |
| September 10, 2024 | 63276, 63367 | Radmacher Brothers Excavating Co., Inc. | Osterhout |
| September 10, 2024 | 63334-ADR | Redside Construction LLC | Cates-Harman |
| September 6, 2024 | 63359-ADR | Sonabend Company | Witwer |
| August |  |  |  |
| August 29, 2024 | 63634-ADR | Aviation Training Consulting, LLC | Herzfeld |
| August 29, 2024 | 63197 | Mindseeker, Inc. | Herzfeld |
| August 26, 2024 | 63202 | Nichols Contracting, Inc. | Cates-Harman |
| August 26, 2024 | 62527 | Tanik Construction Company, Inc. | Prouty |
| August 26, 2024 | 63449 | CB Portable Toilet Rental and Services | Melnick |
| August 26, 2024 | 62957-EAJA | Derian, Inc. | Taylor |
| August 22, 2024 | 63851-ADR | Trident Vantage Systems, LLC | Arnett |
| August 22, 2024 | 63922 | KLSS Inc. (Popeyes) | Thrasher |
| August 20, 2024 | 63780 | StructSure Projects, Inc. | Melnick |
| August 20, 2024 | 63565 | Heffler Contracting Group | Melnick |
| August 14, 2024 | 63591, 63604 | Interstate Electrical Contractors, Inc. | McIlmail |
| August 12, 2024 | 63829-ADR | Wolverine Supply, Inc. | Woodrow |
| August 12, 2024 | 63282 | Targe Logistic Services Company | Taylor |
| August 8, 2024 | 62806 | Siemens Government Technologies, Inc. | Thrasher |
| August 7, 2024 | 63722 | Advanced Computer Learning Company, LLC dba ACLC | O'Connell |
| August 7, 2024 | 63819, 63820, 63821, 63822, 63823, 63824, 63825, 63826, 63827 | Seawolf Construction Corp. | Thrasher |
| August 7, 2024 | 63941 | Advanced Computer Learning Company, LLC dba ACLC | O'Connell |
| August 6, 2024 | 63918 | Next Tier Concepts, Inc. | Thrasher |
| August 6, 2024 | 63892-ADR, 63893-ADR | PWE Consultants | Arnett |
| August 5, 2024 | 63718 | Siemens Government Technologies, Inc. | Thrasher |
| August 5, 2024 | 63874 | OM Group, Inc. | Thrasher |
| August 2, 2024 | 63838, 63839 | Direct Steel, LLC | McLish |
| August 2, 2024 | 63066, 63195 | PRIDE Industries | Thrasher |
| August 1, 2024 | 62199, 62200 | Platinum Services, Inc. | Hartman |
| July |  |  |  |
| July 30, 2024 | 63878 | DSME Construction Co., Ltd. | Wilson |
| July 30, 2024 | 63594 | Michael M. Tsontos, S.A. Chania Sucursala Bucuresti | Taylor |
| July 30, 2024 | 63450-ADR | Systems Engineering Associates Corporation | Prouty |
| July 30, 2024 | 62657, 62975, 63200 | BCI Construction USA, Inc. | Stinson |
| July 29, 2024 | 63218, 63219 | BAE Systems Technology Solutions & Services Inc. | Eyester |
| July 26, 2024 | 63069 | DLT Solutions, LLC | Sweet |
| July 24, 2024 | 63926 | Kyodo Shipping and Trading Corporation | Thrasher |
| July 24, 2024 | 63638 | Global Connections to Employment, Inc. | Eyester |
| July 24, 2024 | 63585-ADR | J. Star Enterprises, Inc. | Melnick |
| July 22, 2024 | 63498 | Nova Group, Inc. | McIlmail |
| July 15, 2024 | 63727, 63809 | Erik Robinson d/b/a The Artwork Factory | Melnick |
| July 11, 2024 | 63902, 63903, 63904, 63905, 63906, 63907 | Leebcor Services, LLC | Wilson |
| July 11, 2024 | 63239 | Vectrus Systems Corporation | Eyester |
| July 9, 2024 | 63675 | General Electric Company | Thrasher |
| July 9, 2024 | 62627 | Patricia I. Romero, Inc. dba Pacific West Builders | Eyester |
| July 8, 2024 | 63555 | N.A.C.E. Inc. | Arnett |
| July 3, 2024 | 62576 | Quality Trust, Inc. | Stinson |
| July 2, 2024 | 60942-EAJA, 60943-EAJA, 61111-EAJA, 61733-EAJA, 61952-EAJA | Conquistador Dorado Joint Venture | O'Connell |
| July 2, 2024 | 61737, 61831, 62322, 62323, 62324, 62325, 62326, 62327, 62328, 62329, 62330, 62331, 62332, 62333, 62785, 62786, 62787 | GEMS Environmental Management Services | Prouty |
| July 2, 2024 | 63641, 63642, 63733, 63750, 63751, 63759, 63760, 63761, 63762 | North Wind Construction Services, LLC | Melnick |
| July 2, 2024 | 62344 | Fluor Federal Solutions, LLC | Witwer |
| July 2, 2024 | 63799, 63800, 63801 | Voxtel, Inc. | Thrasher |
| June |  |  |  |
| June 27, 2024 | 63910 | Johnson Controls Government Systems, LLC | Thrasher |
| June 27, 2024 | 63527 | Amentum Serivces, Inc. | Taylor |
| June 27, 2024 | 62772 | The Polote Corporation | Cates-Harman |
| June 26, 2024 | 62959, 62960, 63003 | Voxtel, Inc. | Cates-Harman |
| June 25, 2024 | 63281 | L.P.C & D., Inc. | Thrasher |
| June 24, 2024 | 63485 | Logistics and Rental Car SARL | Arnett |
| June 24, 2024 | 63563 | Record Steel and Construction, Inc. dba RSCI | Page |
| June 24, 2024 | 63639 | Record Steel and Construction, Inc. dba RSCI | Page |
| June 24, 2024 | 63886 | Hensel Phelps Construction Co. | Stinson |
| June 18, 2024 | 63410-ADR, 63434-ADR, 63533-ADR | Missouri Department of Social Services | Melnick |
| June 18, 2024 | 63849 | Belt Built Contracting, LLC | Thrasher |
| June 13, 2024 | 63051 | Case Healthcare Solutions, Inc. d/b/a Case HCS of Reston, Virginia | Wilson |
| June 12, 2024 | 62413, 62414 | Allard Nazarian Group, Inc. dba Granite State Manufacturing | Stinson |
| June 11, 2024 | 63788 | Red Bobtail Transportation | Melnick |
| June 11, 2024 | 63789 | Red Bobtail Transportation | Melnick |
| June 10, 2024 | 62986, 63022 | U.S. Bank National Association | D'Alessandris |
| June 6, 2024 | 62876, 63616 | Shoreline Foundation, Inc. | O'Connell |
| June 5, 2024 | 63357-ADR | Shayes, LLC | Arnett |
| June 4, 2024 | 63153 | Lacy Mechanical, Inc. | Eyester |
| June 4, 2024 | 63617 | VSE Corporation | Thrasher |
| June 3, 2024 | 63783, 63784 | Red Bobtail Transportation | Melnick |
| June 3, 2024 | 63828 | GSI Construction Corp. | Melnick |
| May |  |  |  |
| May 29, 2024 | 63571, 63572, 63573 | McCarthy HITT - Next NGA West JV | McLish |
| May 24, 2024 | 63747-ADR | AVMAC LLC | Page |
| May 23, 2024 | 63771 | Red Bobtail Transportation | Eyester |
| May 22, 2024 | 63465 | Vectrus Systems Corporation | Young |
