Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| 项目 | 成绩 | 保持人 | 代表国家 | 日期 | 赛别 | 地点 | 备注 | 参考 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 50米 | 5.69+ | Gennadiy Chernovol | 哈萨克斯坦 | 2002年2月24日 | Meeting Pas de Calais | 法国 列万 |  |  |
| 55米 | 6.40秒 | 黎振浩 | 中国香港 | 2012年1月18日 |  | 美国 弗吉尼亚州Lynchburg |  |  |
| 60米 | 6.42秒（RT：0.162） | 苏炳添 | 中国 | 2018年3月3日 | 世界室内田径锦标赛 | 英国 英格兰伯明翰 |  |  |
| 100米 | 10.41 | 朝原宣治 | 日本 | 2002年2月4日 |  | 芬兰 坦佩雷 |  |  |
| 200米 | 20.63 | 伊东浩司 | 日本 | 1999年3月5日 | 世界室内田径锦标赛 | 日本 群马县前桥市 |  |  |
| 300米 | 33.67 | Gennadiy Chernovol | 哈萨克斯坦 | 2002年1月7日 |  | 俄罗斯 叶卡捷琳堡 |  |  |
| 400米 | 45.39 | Abdalleleh Haroun | 卡塔尔 | 2015年2月19日 | XL Galan | 瑞典 爱立信球形体育馆 | 苏丹 归化 | [38] |
| 500米 | 59.83 | Abdalleleh Haroun | 卡塔尔 | 2016年2月17日 | Globen Galan | 瑞典 爱立信球形体育馆 | 苏丹 归化 | [39] |
| 600米 | 1:15.83 | Musaeb Abdulrahman Balla | 卡塔尔 | 2014年2月2日 | Russian Winter Meeting | 俄罗斯 莫斯科 |  | [40] |
| 800米 | 1:45.26 | Yusuf Saad Kamel | 巴林 | 2008年3月9日 | 世界室内田径锦标赛 | 西班牙 巴伦西亚 | 肯尼亚 归化 | [41] |
| 1000米 | 2:17.06 | Belal Mansoor Ali | 巴林 | 2008年2月24日 | Indoor Flanders Meeting | 比利时 根特 | 肯尼亚 归化 |  |
| 1500米赛跑 | 3:36.28 | Belal Mansoor Ali | 巴林 | 2007年2月20日 | GE Galan | 瑞典 斯德哥尔摩 | 肯尼亚 归化 |  |
| 1英里赛跑 | 3:57.05 | Mohamed Sulaiman | 卡塔尔 | 1993年2月20日 | 伯明翰室内大奖赛 | 英国 伯明翰 |  |  |
| 2000米 | 5:15.8（手动） | 曹旭龙 | 中国 | 1994年3月18日 | 北京地区室内田径赛 | 中国 北京市 | 手动计时 |  |
| 3000米 | 7:38.77 | Albert Rop | 巴林 | 2014年2月9日 | Indoor Flanders Meeting | 比利时 根特 | 肯尼亚 归化 |  |
| 7:44.58 | Mohammed Ayoub Tiouali | 巴林 | 2018年1月25日 |  | 捷克 俄斯特拉发 |  | [42] |
| 5000米赛跑 | 13:09.43 | Albert Rop | 巴林 | 2017年2月18日 | Birmingham Indoor Grand Prix | 英国 国家室内体育馆 |  | [43] |
| 50米跨栏 | 6.50 | 李彤 | 中国 | 1994年2月19日 |  | 美国 洛杉矶 |  |  |
| 6.44+ | 刘翔 | 中国 | 2004年2月28日 | Meeting Pas de Calais | 法国 列万 |  |  |
| 55米跨栏 | 7.08 | 李彤 | 中国 | 1991年3月8日 | NCAA室内田径锦标赛（Division I） | 美国 印第安那州印第安纳波利斯 |  |  |
| 60米跨栏 | 7.41 | 刘翔 | 中国 | 2012年2月19日 | 伯明翰室内大奖赛 | 英国 英格兰伯明翰 |  | [44][45] |
| 跳高 | 2.41 m | 穆塔兹·伊萨·巴希姆 | 卡塔尔 | 2015年2月18日 | Athlone IT International Grand Prix | 爱尔兰 阿斯隆 |  | [46] |
| 撑杆跳高 | 5.92 m | Igor Potapovich | 哈萨克斯坦 | 1998年2月19日 | GE Galan | 瑞典 斯德哥尔摩 |  |  |
| 跳远 | 8.27 m | 苏雄锋 | 中国 | 2010年3月11日 | 中国全国室内田径锦标赛南京站男子组 | 中国 江苏省南京市 |  | [47] |
